Title,Author(s),ID,Journal,BBCite,Topics,Cited (articles),Cited (cases),Accessed
Patents and the Regulatory State: Rethinking the Patent Bargain Metaphor after Eldred [article],"Ghosh, Shubha (Cited 680 times)",900,"Berkeley Technology Law Journal, Vol. 19, Issue 4 (Fall 2004), pp. 1315-1388",19 Berkeley Tech. L.J. 1315 (2004),"Intellectual Property Law, Intellectual Property Law, Regulation, Economics",67,na,23
What Do Patents Purchase - In Search of Optimal Ignorance in the Patent Office [article],"Ghosh, Shubha (Cited 680 times); Kesan, Jay (Cited 1223 times)",900,"Houston Law Review, Vol. 40, Issue 5 (Spring 2004), pp. 1219-1264",40 Hous. L. Rev. 1219 (2003-2004),"Intellectual Property Law, Statistics",55,na,7
Deprivatizing Copyright [article],"Ghosh, Subha (Cited 680 times)",900,"Case Western Reserve Law Review, Vol. 54, Issue 2 (Winter 2003), pp. 387-502",54 Case W. Res. L. Rev. 387 (2003-2004),"Copyright, Intellectual Property Law, Jurisprudence, Law and Society, Politics, Computer Law, Licensing",48,na,29
The Functions of Transaction Costs: Rethinking Transaction Cost Minimization in a World of Friction [article],"Driesen, David M. (Cited 822 times); Ghosh, Shubha (Cited 680 times)",900,"Arizona Law Review, Vol. 47, Issue 1 (2005), pp. 61-112",47 Ariz. L. Rev. 61 (2005),"Costs, Economics, Commitment, Intellectual Property Law, Intellectual Property Law",46,1,14
An Economic Analysis of the Common Control Exception to Gray Market Exclusion [article],"Ghosh, Shubha (Cited 680 times)",900,"University of Pennsylvania Journal of Internatonal Business Law, Vol. 15, Issue 3 (Fall 1994), pp. 373-440",15 U. Pa. J. Int'l Bus. L. 373 (1994-1995),"Economics, Trade Regulation, Intellectual Property Law, International Trade, Plain Language",34,1,na
Toward a Theory of Regulatory Takings for Intellectual Property: The Path Left Open after College Savings v. Florida Prepaid [article],"Ghosh, Shubha (Cited 680 times)",900,"San Diego Law Review, Vol. 37, Issue 3 (Summer 2000), pp. 637-710",37 San Diego L. Rev. 637 (2000),"Constitutional Law, Intellectual Property Law, Intellectual Property Law, Takings, Age, Federalism, States",32,1,22
"Globalization, Patents, and Traditional Knowledge [article]","Ghosh, Shubha (Cited 680 times)",900,"Columbia Journal of Asian Law, Vol. 17, Issue 1 (Fall 2003), pp. 73-120",17 Colum. J. Asian L. 73 (2003-2004),"Globalization, Intellectual Property Law, International Trade, Patents, Copyrights and Trademarks, Intellectual Property Law, Property Law",26,na,142
"The Merits of Ownership; or, How I Learned to Stop Worrying and Love Intellectual Property Review Essay of Lawrence Lessig, The Future of Ideas, and Siva Vaidhyanathan, Copyrights and Copywrongs [article]","Ghosh, Shubha (Cited 680 times)",900,"Harvard Journal of Law & Technology, Vol. 15, Issue 2 (Spring 2002), pp. 453-496",15 Harv. J. L. Tech 453 (2001-2002),"Intellectual Property Law, Intellectual Property Law, Ownership, Property Law, Computer Law, Revolution",23,na,9
"Pills, Patents, and Power: State Creation of Gray Markets as a Limit on Patent Rights [article]","Ghosh, Shubha (Cited 680 times)",900,"Florida Law Review, Vol. 53, Issue 4 (September 2001), pp. 789-830",53 Fla. L. Rev. 789 (2001),"Intellectual Property Law, International Trade, Copyright, Trade Regulation",22,na,7
"Race-Specific Patents, Commercialization, and Intellectual Property Policy [article]","Ghosh, Shubha (Cited 680 times)",900,"Buffalo Law Review, Vol. 56, Issue 2 (May 2008), pp. 409-494",56 Buff. L. Rev. 409 (2008),"Intellectual Property Law, Intellectual Property Law, Race, Research, Medical Jurisprudence",20,na,26
"Decoding and Recoding Natural Monopoly, Deregulation, and Intellectual Property [article]","Ghosh, Shubha (Cited 680 times)",900,"University of Illinois Law Review, Vol. 2008, Issue 4 (2008), pp. 1125-1184",2008 U. Ill. L. Rev. 1125 (2008),"Deregulation, Intellectual Property Law",20,na,17
Copyright as Privatization: The Case of Model Codes [article],"Ghosh, Shubha (Cited 680 times)",900,"Tulane Law Review, Vol. 78, Issue 3 (February 2004), pp. 653-726",78 Tul. L. Rev. 653 (2003-2004),"Copyright, Legal Analysis and Writing, Legislation, Privatization, Intellectual Property Law, Government",19,na,15
